uf;nome_uf;regiao
AC;Acre;Norte
AL;Alagoas;Nordeste
AM;Amazonas;Norte
AP;Amapa;Norte
BA;Bahia;Nordeste
CE;Ceara;Nordeste
DF;Distrito Federal;Centro-Oeste
ES;Espirito Santo;Sudeste
GO;Goias;Centro-Oeste
MA;Maranhao;Nordeste
MG;Minas Gerais;Sudeste
MS;Mato Grosso do Sul;Centro-Oeste
MT;Mato Grosso;Centro-Oeste
PA;Para;Norte
PB;Paraiba;Nordeste
PE;Pernambuco;Nordeste
PI;Piaui;Nordeste
PR;Parana;Sul
RJ;Rio de Janeiro;Sudeste
RN;Rio Grande do Norte;Nordeste
RO;Rondonia;Norte
RR;Roraima;Norte
RS;Rio Grande do Sul;Sul
SC;Santa Catarina;Sul
SE;Sergipe;Nordeste
SP;Sao Paulo;Sudeste
TO;Tocantins;Norte
