uf;ano;cluster_id;inse;quantidade_alunos_inse;percentual_nivel_1;percentual_nivel_2;percentual_nivel_3;percentual_nivel_4;percentual_nivel_5;percentual_nivel_6;percentual_nivel_7;percentual_nivel_8
AC;2019;1;4,57;28003;1,66;28,0;21,69;18,7;14,1;8,36;6,48;1,02
AC;2021;1;4,63;23143;2,24;23,36;21,19;20,75;15,21;9,32;6,79;1,14
AL;2019;1;4,45;93866;4,72;29,48;21,0;18,02;12,46;7,49;5,73;1,11
AL;2021;1;4,55;90919;3,29;23,22;23,04;21,7;14,65;8,19;5,14;0,77
AM;2019;1;4,55;143310;3,1;27,55;21,76;18,36;12,92;8,0;7,04;1,26
AM;2021;1;4,57;142430;3,87;24,53;20,8;19,71;14,23;8,89;6,78;1,17
AP;2019;1;4,69;25435;1,58;22,59;22,0;19,93;14,27;9,55;8,54;1,54
AP;2021;1;4,76;20163;1,43;17,6;21,98;22,71;16,25;10,3;8,33;1,39
BA;2019;1;4,58;380543;2,98;24,15;21,54;20,77;14,85;8,63;6,08;1,01
BA;2021;1;4,62;337361;2,47;20,01;22,98;23,43;16,33;8,74;5,31;0,73
CE;2019;1;4,44;282527;4,88;29,65;21,09;17,98;12,62;7,39;5,47;0,92
CE;2021;1;4,53;284549;3,32;24,2;23,54;21,26;14,18;7,41;5,17;0,93
DF;2019;0;5,54;72610;0,27;3,97;8,6;16,18;20,61;19,44;24,31;6,62
DF;2021;0;5,6;66261;0,19;3,03;7,69;15,63;20,98;19,79;24,27;8,42
ES;2019;2;5,08;98112;0,69;10,3;15,6;21,19;20,68;15,72;13,59;2,24
ES;2021;2;5,14;94800;0,63;7,79;14,11;21,78;22,55;17,12;13,88;2,15
GO;2019;0;5,16;180722;0,55;7,86;13,42;21,28;23,45;17,01;14,05;2,38
GO;2021;0;5,2;192835;0,46;6,09;12,55;21,94;24,84;17,96;14,06;2,11
MA;2019;1;4,22;233633;6,05;38,5;21,09;15,52;9,85;4,97;3,47;0,55
MA;2021;1;4,34;216656;5,22;30,46;23,72;19,51;11,88;5,77;3,03;0,41
MG;2019;0;5,11;549942;0,96;10,78;13,92;19,88;20,97;16,43;14,72;2,35
MG;2021;0;5,21;462939;0,72;7,59;12,65;20,13;22,37;17,97;15,65;2,92
MS;2019;2;5,16;77457;0,4;8,97;14,42;20,8;21,56;16,25;14,74;2,86
MS;2021;2;5,23;64941;0,43;6,59;12,43;20,99;23,5;17,21;15,57;3,28
MT;2019;0;5,03;97099;0,37;10,96;16,95;22,68;21,23;14,2;11,42;2,2
MT;2021;0;5,15;83344;0,3;6,66;14,37;23,33;23,87;16,32;12,36;2,78
PA;2019;1;4,31;269993;5,06;35,74;21,7;16,2;10,29;5,74;4,52;0,75
PA;2021;1;4,39;236738;5,09;28,48;23,33;19,94;12,61;6,22;3,84;0,49
PB;2019;1;4,65;100773;3,04;23,51;20,71;19,27;14,53;9,27;7,91;1,76
PB;2021;1;4,65;89415;2,53;20,61;21,63;22,31;16,07;9,7;6,25;0,89
PE;2019;1;4,61;250843;3,02;23,25;21,58;20,3;14,67;8,98;7,06;1,13
PE;2021;1;4,67;247632;2,24;18,54;22,49;23,56;16,71;9,36;6,38;0,73
PI;2019;1;4,35;98604;5,76;33,78;19,87;16,39;11,5;6,51;5,18;1,0
PI;2021;1;4,44;92265;4,38;28,27;22,53;19,74;13,14;6,74;4,28;0,92
PR;2019;0;5,45;306314;0,15;4,26;8,98;16,71;22,84;21,4;21,7;3,95
PR;2021;0;5,5;301195;0,16;3,15;7,76;16,08;23,21;22,41;22,73;4,49
RJ;2019;2;5,16;312708;0,52;8,13;14,86;21,41;21,34;15,87;15,19;2,68
RJ;2021;2;5,13;290025;0,7;7,73;14,56;21,92;22,71;17,13;13,31;1,94
RN;2019;1;4,66;80286;2,44;21,78;20,75;20,85;16,61;9,82;6,86;0,89
RN;2021;1;4,74;69523;1,6;17,24;21,55;23,42;17,69;10,75;6,68;1,08
RO;2019;2;4,86;57100;0,31;14,51;21,45;23,77;18,83;11,27;8,43;1,42
RO;2021;2;4,97;50118;0,36;9,09;19,03;26,39;21,56;12,96;9,11;1,51
RR;2019;1;4,72;17373;3,22;22,58;18,85;18,21;14,66;10,43;10,0;2,04
RR;2021;1;4,78;12549;3,1;17,68;18,6;20,83;17,27;10,89;9,9;1,72
RS;2019;0;5,46;226411;0,16;3,92;8,62;16,41;22,63;22,04;22,48;3,74
RS;2021;0;5,5;195611;0,16;3,24;7,54;16,31;23,0;22,72;22,72;4,3
SC;2019;0;5,59;181384;0,08;2,19;6,14;13,77;23,1;25,27;25,45;4,0
SC;2021;0;5,63;167174;0,09;1,78;5,42;13,15;23,1;25,22;25,96;5,28
SE;2019;1;4,56;58659;3,86;26,56;19,55;18,14;14,16;9,56;7,09;1,07
SE;2021;1;4,59;58633;3,38;21,78;21,34;21,11;17,04;9,35;5,45;0,55
SP;2019;0;5,42;1176914;0,22;4,23;9,62;17,87;22,98;20,77;19,79;4,52
SP;2021;0;5,46;1068518;0,24;3,32;8,49;17,49;23,06;21,79;21,26;4,35
TO;2019;2;4,69;55095;1,97;21,88;20,38;20,7;16,31;10,06;7,4;1,3
TO;2021;0;4,82;46519;1,45;15,47;19,75;23,34;19,03;11,35;7,96;1,67
