uf,ano,taxa_desemprego
AC,2018,13.72
AC,2019,14.72
AC,2020,13.7
AC,2022,10.53
AC,2023,7.95
AC,2024,7.7
AC,2025,7.33
AL,2018,17.27
AL,2019,15.1
AL,2020,16.8
AL,2022,10.27
AL,2023,9.55
AL,2024,8.5
AL,2025,8.05
AM,2018,14.03
AM,2019,14.18
AM,2020,14.7
AM,2022,10.0
AM,2023,9.65
AM,2024,8.57
AM,2025,8.15
AP,2018,20.35
AP,2019,17.55
AP,2020,17.4
AP,2022,11.87
AP,2023,12.75
AP,2024,9.2
AP,2025,8.15
BA,2018,17.23
BA,2019,17.4
BA,2020,18.9
BA,2022,14.63
BA,2023,13.43
BA,2024,11.18
BA,2025,9.18
CE,2018,11.4
CE,2019,11.07
CE,2020,12.4
CE,2022,8.93
CE,2023,9.05
CE,2024,7.35
CE,2025,6.5
DF,2018,12.8
DF,2019,13.45
DF,2020,13.6
DF,2022,10.97
DF,2023,9.85
DF,2024,9.32
DF,2025,8.17
ES,2018,11.68
ES,2019,11.18
ES,2020,11.3
ES,2022,7.53
ES,2023,6.08
ES,2024,4.62
ES,2025,3.02
GO,2018,9.35
GO,2019,10.82
GO,2020,11.6
GO,2022,6.6
GO,2023,6.15
GO,2024,5.35
GO,2025,4.53
MA,2018,14.72
MA,2019,14.65
MA,2020,16.5
MA,2022,9.6
MA,2023,8.22
MA,2024,7.58
MA,2025,6.6
MG,2018,10.78
MG,2019,10.12
MG,2020,11.7
MG,2022,6.47
MG,2023,6.08
MG,2024,5.22
MG,2025,4.4
MS,2018,7.62
MS,2019,8.1
MS,2020,7.9
MS,2022,4.53
MS,2023,4.25
MS,2024,3.98
MS,2025,3.05
MT,2018,7.97
MT,2019,8.03
MT,2020,8.6
MT,2022,3.97
MT,2023,3.48
MT,2024,2.97
MT,2025,2.75
PA,2018,11.2
PA,2019,10.85
PA,2020,10.7
PA,2022,8.7
PA,2023,8.53
PA,2024,7.5
PA,2025,6.97
PB,2018,11.3
PB,2019,11.75
PB,2020,13.9
PB,2022,11.17
PB,2023,10.1
PB,2024,8.72
PB,2025,7.1
PE,2018,16.9
PE,2019,15.65
PE,2020,14.8
PE,2022,13.3
PE,2023,13.4
PE,2024,11.22
PE,2025,10.2
PI,2018,12.93
PI,2019,13.03
PI,2020,14.2
PI,2022,9.4
PI,2023,10.32
PI,2024,8.28
PI,2025,8.55
PR,2018,8.85
PR,2019,8.65
PR,2020,8.0
PR,2022,5.53
PR,2023,4.9
PR,2024,4.1
PR,2025,3.62
RJ,2018,15.05
RJ,2019,14.75
RJ,2020,14.7
RJ,2022,12.1
RJ,2023,11.0
RJ,2024,9.2
RJ,2025,7.95
RN,2018,13.72
RN,2019,13.35
RN,2020,15.7
RN,2022,10.83
RN,2023,10.3
RN,2024,9.15
RN,2025,7.9
RO,2018,9.18
RO,2019,8.1
RO,2020,8.5
RO,2022,4.23
RO,2023,2.85
RO,2024,2.95
RO,2025,2.65
RR,2018,12.45
RR,2019,15.1
RR,2020,16.7
RR,2022,5.23
RR,2023,6.65
RR,2024,6.9
RR,2025,5.7
RS,2018,8.2
RS,2019,8.15
RS,2020,8.5
RS,2022,5.63
RS,2023,5.33
RS,2024,5.33
RS,2025,4.35
SC,2018,6.45
SC,2019,6.17
SC,2020,5.8
SC,2022,3.7
SC,2023,3.55
SC,2024,3.15
SC,2025,2.42
SE,2018,16.82
SE,2019,15.25
SE,2020,15.9
SE,2022,12.37
SE,2023,10.88
SE,2024,9.0
SE,2025,8.15
SP,2018,13.45
SP,2019,12.57
SP,2020,12.3
SP,2022,8.53
SP,2023,7.6
SP,2024,6.45
SP,2025,5.33
TO,2018,10.72
TO,2019,10.97
TO,2020,11.5
TO,2022,5.43
TO,2023,6.12
TO,2024,5.15
TO,2025,4.88
