ano,sigla_uf,sigla_uf_nome,area_km2
2025,RO,Rondônia,237753.439
2025,AC,Acre,164064.761
2025,AM,Amazonas,1558704.331
2025,RR,Roraima,223505.058
2025,PA,Pará,1245831.512
2025,AP,Amapá,142253.880
2025,TO,Tocantins,277423.625
2025,MA,Maranhão,329651.463
2025,PI,Piauí,251755.499
2025,CE,Ceará,148894.440
2025,RN,Rio Grande do Norte,52809.600
2025,PB,Paraíba,56467.243
2025,PE,Pernambuco,98064.415
2025,AL,Alagoas,27830.662
2025,SE,Sergipe,21938.188
2025,BA,Bahia,564763.876
2025,MG,Minas Gerais,586514.008
2025,ES,Espírito Santo,46074.440
2025,RJ,Rio de Janeiro,43750.424
2025,SP,São Paulo,248219.485
2025,PR,Paraná,199293.571
2025,SC,Santa Catarina,95736.100
2025,RS,Rio Grande do Sul,281707.150
2025,MS,Mato Grosso do Sul,357142.010
2025,MT,Mato Grosso,903208.027
2025,GO,Goiás,340242.859
2025,DF,Distrito Federal,5760.785
